#############################################################################
# (c) Copyright Arthur L. Corcoran, 1992, 1993.  All rights reserved.
#
# Initial pool data file
#
# This file is free format.  The '#' indicates a comment and the 
# remainder of the line is ignored.  Be sure not to include a 'q'
# or a 'Q' in the data as they are interpreted as 'quit' commands.
#
#############################################################################
#
# chromosome length
#
# NOTE: this must be the first number in the file
#
10

#
# initial pool
#
2 9 7 4 3 6 5 8 10 1 
7 8 5 10 4 2 6 3 9 1 
4 1 7 8 3 6 2 5 9 10 
1 4 3 10 7 5 9 2 8 6 
7 10 2 3 5 4 8 1 6 9 
4 1 5 2 8 7 3 6 10 9 
5 6 7 10 3 8 9 4 1 2 
4 5 3 9 10 8 2 1 6 7 
3 5 1 6 10 9 2 7 4 8 
1 9 3 5 2 4 7 6 10 8 
10 6 7 5 4 1 8 9 3 2 
5 2 4 10 7 1 9 8 6 3 
9 8 7 3 1 6 2 10 4 5 
10 2 9 3 1 5 6 4 8 7 
9 1 2 6 4 5 3 8 7 10 
3 6 8 7 5 10 2 9 4 1 
5 2 3 8 4 6 7 1 9 10 
3 9 2 10 4 6 5 7 8 1 
5 1 4 9 2 3 7 10 6 8 
6 9 7 10 3 4 2 8 5 1 
9 6 3 7 8 5 4 1 2 10 
8 1 4 10 6 7 9 2 3 5 
8 4 2 1 5 10 6 9 3 7 
6 2 8 9 7 1 5 10 3 4 
6 8 7 4 5 2 3 10 1 9 
5 2 3 8 4 6 7 1 9 10 
